Datum,WoTag,Woche,lfdTag,JulTag,SAofficial,SUofficial,MondTag,MondProzent,Mondphase,MA,MU,Text
5.11.2017,Sonntag,44,309,2458063,07:28,16:59,16,90,,18:21,08:36,
6.11.2017,Montag,45,310,2458064,07:30,16:58,17,83,,19:06,09:53,
7.11.2017,Dienstag,45,311,2458065,07:32,16:56,18,76,,20:00,11:04,
8.11.2017,Mittwoch,45,312,2458066,07:34,16:55,19,69,,21:03,12:06,
9.11.2017,Donnerstag,45,313,2458067,07:35,16:53,20,62,,22:12,12:58,
10.11.2017,Freitag,45,314,2458068,07:37,16:52,21,55,,23:23,13:39,
11.11.2017,Samstag,45,315,2458069,07:39,16:50,22,48,,00:36,14:14,Martinstag 
12.11.2017,Sonntag,45,316,2458070,07:40,16:49,23,41,,01:00,14:43,
13.11.2017,Montag,46,317,2458071,07:42,16:47,24,34,,01:47,15:08,
14.11.2017,Dienstag,46,318,2458072,07:44,16:46,25,28,,02:57,15:31,
15.11.2017,Mittwoch,46,319,2458073,07:45,16:45,26,21,,04:05,15:55,
16.11.2017,Donnerstag,46,320,2458074,07:47,16:43,27,14,,05:12,16:18,
17.11.2017,Freitag,46,321,2458075,07:49,16:42,28,7,,06:18,16:44,
18.11.2017,Samstag,46,322,2458076,07:50,16:41,29,0,,07:22,17:12,
19.11.2017,Sonntag,46,323,2458077,07:52,16:40,0,0,Neumond,08:25,17:44,Volkstrauertag 
20.11.2017,Montag,47,324,2458078,07:54,16:38,1,7,,09:24,18:21,
21.11.2017,Dienstag,47,325,2458079,07:55,16:37,2,14,,10:19,19:04,
22.11.2017,Mittwoch,47,326,2458080,07:57,16:36,3,21,,11:07,19:53,Buß- und Bettag 
23.11.2017,Donnerstag,47,327,2458081,07:58,16:35,4,28,,11:50,20:47,
24.11.2017,Freitag,47,328,2458082,08:00,16:34,5,34,,12:28,21:46,
25.11.2017,Samstag,47,329,2458083,08:02,16:33,6,41,,13:00,22:49,
26.11.2017,Sonntag,47,330,2458084,08:03,16:32,7,48,,13:28,23:55,Totensonntag 
27.11.2017,Montag,48,331,2458085,08:05,16:32,8,55,,13:54,01:00,
28.11.2017,Dienstag,48,332,2458086,08:06,16:31,9,62,,14:25,01:03,
29.11.2017,Mittwoch,48,333,2458087,08:07,16:30,10,69,,14:43,02:14,
30.11.2017,Donnerstag,48,334,2458088,08:09,16:29,11,76,,15:09,03:28,
1.12.2017,Freitag,48,335,2458089,08:10,16:29,13,90,,15:38,04:46,Welt-AIDS-Tag 
2.12.2017,Samstag,48,336,2458090,08:12,16:28,14,100,,16:12,06:05,
3.12.2017,Sonntag,48,337,2458091,08:13,16:28,15,100,Vollmond,16:53,07:25,1. Advent
4.12.2017,Montag,49,338,2458092,08:14,16:27,16,90,,17:43,08:42,
5.12.2017,Dienstag,49,339,2458093,08:15,16:27,17,83,,18:44,09:51,
6.12.2017,Mittwoch,49,340,2458094,08:17,16:26,18,76,,19:53,10:50,Nikolaus 
7.12.2017,Donnerstag,49,341,2458095,08:18,16:26,19,69,,21:07,11:38,
8.12.2017,Freitag,49,342,2458096,08:19,16:26,20,62,,22:22,12:16,Mariä Empfängnis 
9.12.2017,Samstag,49,343,2458097,08:20,16:26,21,55,,23:36,12:48,
10.12.2017,Sonntag,49,344,2458098,08:21,16:25,22,48,,00:47,13:14,2. Advent
11.12.2017,Montag,50,345,2458099,08:22,16:25,23,41,,01:00,13:39,
12.12.2017,Dienstag,50,346,2458100,08:23,16:25,24,34,,01:56,14:02,
13.12.2017,Mittwoch,50,347,2458101,08:24,16:25,25,28,,03:03,14:25,
14.12.2017,Donnerstag,50,348,2458102,08:25,16:25,26,21,,04:09,14:49,
15.12.2017,Freitag,50,349,2458103,08:26,16:25,27,14,,05:14,15:15,
16.12.2017,Samstag,50,350,2458104,08:27,16:26,28,7,,06:17,15:45,
17.12.2017,Sonntag,50,351,2458105,08:28,16:26,29,0,,07:17,16:20,3. Advent
18.12.2017,Montag,51,352,2458106,08:28,16:26,0,0,Neumond,08:14,17:01,
19.12.2017,Dienstag,51,353,2458107,08:29,16:26,1,7,,09:05,17:47,
20.12.2017,Mittwoch,51,354,2458108,08:30,16:27,2,14,,09:50,18:40,
21.12.2017,Donnerstag,51,355,2458109,08:30,16:27,3,21,,10:30,19:37,Winteranfang 
22.12.2017,Freitag,51,356,2458110,08:31,16:28,4,28,,11:03,20:39,
23.12.2017,Samstag,51,357,2458111,08:31,16:28,5,34,,11:32,21:42,
24.12.2017,Sonntag,51,358,2458112,08:32,16:29,6,41,,11:58,22:49,4. Advent Heiliger Abend
25.12.2017,Montag,52,359,2458113,08:32,16:30,7,48,,12:48,00:06,1. Weihnachtstag
26.12.2017,Dienstag,52,360,2458114,08:32,16:30,8,55,,12:46,01:00,2. Weihnachtstag
27.12.2017,Mittwoch,52,361,2458115,08:33,16:31,9,62,,13:10,01:07,
28.12.2017,Donnerstag,52,362,2458116,08:33,16:32,10,69,,13:36,02:20,
29.12.2017,Freitag,52,363,2458117,08:33,16:33,11,76,,14:06,03:36,
30.12.2017,Samstag,52,364,2458118,08:33,16:34,12,83,,14:42,04:54,
31.12.2017,Sonntag,52,365,2458119,08:33,16:35,13,90,,15:26,06:12,Silvester 
,,,,,,,,,,,,
50:46:01 N   7:10:59 E  osnabrück (c) and service by https://galupki.de/kalender/sunmoon.php,,,,,,,,,,,,
